file,field,shape,dtype
data/reference/figures/revision_v20_plot_data.npz,cost_2020-11-29_M2_native,48,float64
data/reference/figures/revision_v20_plot_data.npz,source_co2_2020-11-29_M2_native,48,float64
data/reference/figures/revision_v20_plot_data.npz,cost_2020-11-29_M3_native,48,float64
data/reference/figures/revision_v20_plot_data.npz,source_co2_2020-11-29_M3_native,48,float64
data/reference/figures/revision_v20_plot_data.npz,cost_2020-11-29_M4_proposed,48,float64
data/reference/figures/revision_v20_plot_data.npz,source_co2_2020-11-29_M4_proposed,48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-04-07_M1_constant,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-04-07_M2_native,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-04-07_M3_native,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-04-07_M4_proposed,216 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-10-17_M1_constant,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-10-17_M2_native,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-10-17_M3_native,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-10-17_M4_proposed,216 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-11-29_M1_constant,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-11-29_M2_native,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-11-29_M3_native,72 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,temp_2020-11-29_M4_proposed,216 x 48,float64
data/reference/figures/revision_v20_plot_data.npz,iteration_2020-04-07_0,4 x 29,float64
data/reference/figures/revision_v20_plot_data.npz,iteration_2020-04-07_1,4 x 40,float64
data/reference/figures/revision_v20_plot_data.npz,iteration_2020-10-17_0,4 x 9,float64
data/reference/figures/revision_v20_plot_data.npz,iteration_2020-10-17_1,4 x 25,float64
data/reference/figures/revision_v20_plot_data.npz,iteration_2020-11-29_0,4 x 40,float64
data/reference/figures/revision_v20_plot_data.npz,iteration_2020-11-29_1,4 x 40,float64
data/reference/figures/shared_carbon_domain_data.npz,power_axis_mw,601,float64
data/reference/figures/shared_carbon_domain_data.npz,rho_t_mwh,601 x 601,float64
data/reference/figures/shared_carbon_domain_data.npz,joint_0,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,independent_0,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,joint_1,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,independent_1,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,joint_2,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,independent_2,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,joint_3,601 x 601,bool
data/reference/figures/shared_carbon_domain_data.npz,independent_3,601 x 601,bool
data/reference/figures/spectral_geometry_samples.npz,eta_2,1200 x 2,complex128
data/reference/figures/spectral_geometry_samples.npz,eta_3,1801 x 3,complex128
data/reference/figures/stability_surface_data.npz,mean_current_ka,3,float64
data/reference/figures/stability_surface_data.npz,acd_m,3,float64
data/reference/figures/stability_surface_data.npz,frequency_normalized,71,float64
data/reference/figures/stability_surface_data.npz,amplitude_ka,61,float64
data/reference/figures/stability_surface_data.npz,exponent,3 x 3 x 61 x 71,float64
data/reference/figures/temperature_distribution_data.npz,time_h,48,float64
data/reference/figures/temperature_distribution_data.npz,d9_t10_14_s1,48 x 12,float64
data/reference/figures/temperature_distribution_data.npz,d18_t10_14_s1,48 x 12,float64
data/reference/figures/temperature_distribution_data.npz,d9_t10_18_s1,48 x 12,float64
data/reference/figures/temperature_distribution_data.npz,d18_t10_18_s1,48 x 12,float64
data/reference/figures/temperature_distribution_data.npz,d9_t10_22_s1,48 x 12,float64
data/reference/figures/temperature_distribution_data.npz,d18_t10_22_s1,48 x 12,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-04-07_M1_constant,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-04-07_M2_native,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-04-07_M3_native,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-04-07_M4_proposed,216 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-10-17_M1_constant,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-10-17_M2_native,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-10-17_M3_native,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-10-17_M4_proposed,216 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-11-29_M1_constant,72 x 48,float64
data/reference/figures/temperature_distribution_v19_data.npz,temp_2020-11-29_M2_native,72 x 48,float64
